"eid","exercise","Short YouTube Demonstration","InDepth YouTube Explanation","Difficulty Level","Target Muscle Group","Prime Mover Muscle","Secondary Muscle","Tertiary Muscle","Primary Equipment","Secondary Equipment","Body Region","Force Type","mechanics","Primary Exercise Classification","setsxreps"
2,"Bodyweight Glute Bridge","https://youtu.be/ncpMkhXAykg?si=a_b3ot2rsThtz4DE","https://youtu.be/wPM8icPu6H8","Beginner","Glutes","Gluteus Maximus",NULL,NULL,"Bodyweight","None","Lower Body","Unsorted*","Compound","Bodybuilding","4x12"
6,"Ring Hanging Knee Raise","https://youtu.be/RPBH_Dw5hUo?si=SqKs_FnqsPMuLdq0",NULL,"Intermediate","Abdominals","Rectus Abdominis","Iliopsoas","Rectus Femoris","Gymnastic Rings","None","Midsection","Other","Compound","Calisthenics","4x20"
7,"Parallette Mountain Climber","https://youtu.be/W0RoAqlFzrA",NULL,"Novice","Abdominals","Rectus Abdominis",NULL,NULL,"Parallette Bars","None","Midsection","Other","Compound","Calisthenics","4x20"
8,"Parallette Push Up","https://youtu.be/Kbhl_O1N4aw","https://youtu.be/Jrh9F8L2NJ4","Novice","Chest","Pectoralis Major","Triceps Brachii",NULL,"Parallette Bars","None","Upper Body","Push","Compound","Calisthenics","4x20"
14,"Bodyweight Kneeling Forearm Plank","https://youtu.be/Ns1NS9ThNhI","https://youtu.be/5HyOjaj7atU","Beginner","Abdominals","Rectus Abdominis",NULL,NULL,"Bodyweight","None","Midsection","Other","Compound","Calisthenics","4x20"
16,"Ring Hanging Oblique Knee Raise",NULL,NULL,"Intermediate","Abdominals","Obliques","Rectus Abdominis",NULL,"Gymnastic Rings","None","Midsection","Other","Compound","Calisthenics","4x20"
19,"Ring L Sit Hang Flutter Kicks","https://youtu.be/Y7Ua1YRsqd0",NULL,"Intermediate","Abdominals","Rectus Abdominis",NULL,NULL,"Gymnastic Rings","None","Midsection","Other","Compound","Calisthenics","4x20"
30,"Single Arm Dumbbell Turkish Get Up","https://youtu.be/saYKvqSscuY","https://youtu.be/MlDLOiN42d4","Intermediate","Abdominals","Obliques","Rectus Abdominis",NULL,"Dumbbell","None","Full Body","Other","Compound","Grinds","3x20"
33,"Ring Hanging Leg Raise","https://youtu.be/IMWzJ7zkklA",NULL,"Advanced","Abdominals","Rectus Abdominis",NULL,NULL,"Gymnastic Rings","None","Midsection","Other","Compound","Calisthenics","4x20"
34,"Parallette L Sit","https://youtu.be/lLu9U0G7Ogw","https://youtu.be/rzK07x9QeNY","Advanced","Abdominals","Rectus Abdominis",NULL,NULL,"Parallette Bars","None","Midsection","Other","Compound","Calisthenics","4x20"
35,"Bodyweight Standing Walkout Plank","https://youtu.be/R6SMJ-TzgZo","https://youtu.be/R6SMJ-TzgZo","Intermediate","Abdominals","Rectus Abdominis",NULL,NULL,"Bodyweight","None","Midsection","Other","Compound","Calisthenics","4x20"
36,"Ring Eccentric Pull Up","https://youtu.be/4vEoBieXyKk",NULL,"Novice","Back","Latissimus Dorsi",NULL,NULL,"Gymnastic Rings","None","Upper Body","Pull","Compound","Calisthenics","4x20"
37,"Barbell Climb",NULL,"https://youtu.be/1bBP54xKHbQ","Expert","Abdominals","Rectus Abdominis",NULL,NULL,"Barbell","None","Midsection","Other","Compound","Calisthenics","4x20"
40,"Ring Eccentric Chin Up","https://youtu.be/QvgPN5XfDX8?si=0U64Q99rkmh8yNmO","https://youtu.be/Gh3vyrtzkmY","Novice","Biceps","Biceps Brachii","Latissimus Dorsi",NULL,"Gymnastic Rings","None","Upper Body","Pull","Compound","Calisthenics","4x20"
45,"Miniband Fire Hydrant","https://youtu.be/gnzypKUFU6Y",NULL,"Beginner","Glutes","Gluteus Maximus","Gluteus Medius","Gluteus Minimus","Miniband","None","Lower Body","Other","Isolation","Bodybuilding","4x12"
47,"Bodyweight Side Plank","https://youtu.be/_R389Jk0tIo","https://youtu.be/rCxF2nG9vQ0","Novice","Abdominals","Obliques","Rectus Abdominis",NULL,"Bodyweight","None","Midsection","Other","Compound","Calisthenics","4x20"
